abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
001,,DEFAULT,HR,CHF,9832,10924,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
001,,DEFAULT,HR,CHF,7762,8624,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
001,,DEFAULT,HR,CHF,3881,4312,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
001,,DEFAULT,HR,EUR,8549,9499,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
001,,DEFAULT,HR,EUR,6749,7499,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
001,,DEFAULT,HR,EUR,3375,3750,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
002,,DEFAULT,HR,CHF,9832,10924,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
002,,DEFAULT,HR,CHF,7762,8624,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
002,,DEFAULT,HR,CHF,3881,4312,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
002,,DEFAULT,HR,EUR,8549,9499,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
002,,DEFAULT,HR,EUR,6749,7499,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
002,,DEFAULT,HR,EUR,3375,3750,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
003,,DEFAULT,HR,CHF,6392,7101,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
003,,DEFAULT,HR,CHF,5046,5606,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
003,,DEFAULT,HR,CHF,2523,2803,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
003,,DEFAULT,HR,EUR,5558,6175,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
003,,DEFAULT,HR,EUR,4388,4875,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
003,,DEFAULT,HR,EUR,2194,2438,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
004,,DEFAULT,HR,CHF,6883,7648,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
004,,DEFAULT,HR,CHF,5434,6038,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
004,,DEFAULT,HR,CHF,2717,3019,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
004,,DEFAULT,HR,EUR,5985,6650,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
004,,DEFAULT,HR,EUR,4725,5250,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
004,,DEFAULT,HR,EUR,2363,2625,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
005,,DEFAULT,HR,CHF,6883,7648,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
005,,DEFAULT,HR,CHF,5434,6038,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
005,,DEFAULT,HR,CHF,2717,3019,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
005,,DEFAULT,HR,EUR,5985,6650,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
005,,DEFAULT,HR,EUR,4725,5250,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
005,,DEFAULT,HR,EUR,2363,2625,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
006,,DEFAULT,HR,CHF,33923,37691,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
006,,DEFAULT,HR,CHF,26781,29756,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
006,,DEFAULT,HR,CHF,13391,14878,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
006,,DEFAULT,HR,EUR,29498,32775,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
006,,DEFAULT,HR,EUR,23288,25875,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
006,,DEFAULT,HR,EUR,11644,12938,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
007,,DEFAULT,HR,CHF,33923,37691,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
007,,DEFAULT,HR,CHF,26781,29756,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
007,,DEFAULT,HR,CHF,13391,14878,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
007,,DEFAULT,HR,EUR,29498,32775,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
007,,DEFAULT,HR,EUR,23288,25875,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
007,,DEFAULT,HR,EUR,11644,12938,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
008,,DEFAULT,HR,CHF,33923,37691,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
008,,DEFAULT,HR,CHF,26781,29756,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
008,,DEFAULT,HR,CHF,13391,14878,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
008,,DEFAULT,HR,EUR,29498,32775,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
008,,DEFAULT,HR,EUR,23288,25875,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
008,,DEFAULT,HR,EUR,11644,12938,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
009,,DEFAULT,HR,CHF,9832,10924,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
009,,DEFAULT,HR,CHF,7762,8624,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
009,,DEFAULT,HR,CHF,3881,4312,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
009,,DEFAULT,HR,EUR,8549,9499,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
009,,DEFAULT,HR,EUR,6749,7499,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
009,,DEFAULT,HR,EUR,3375,3750,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
010,,DEFAULT,HR,CHF,34020,37801,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
010,,DEFAULT,HR,CHF,26858,29843,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
010,,DEFAULT,HR,CHF,13429,14922,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
010,,DEFAULT,HR,EUR,29583,32870,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
010,,DEFAULT,HR,EUR,23355,25950,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
010,,DEFAULT,HR,EUR,11678,12975,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
011,,DEFAULT,HR,CHF,35987,39986,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
011,,DEFAULT,HR,CHF,28411,31568,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
011,,DEFAULT,HR,CHF,14206,15784,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
011,,DEFAULT,HR,EUR,31293,34770,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
011,,DEFAULT,HR,EUR,24705,27450,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
011,,DEFAULT,HR,EUR,12353,13725,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
012,,DEFAULT,HR,CHF,35987,39986,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
012,,DEFAULT,HR,CHF,28411,31568,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
012,,DEFAULT,HR,CHF,14206,15784,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
012,,DEFAULT,HR,EUR,31293,34770,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
012,,DEFAULT,HR,EUR,24705,27450,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
012,,DEFAULT,HR,EUR,12353,13725,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
013,,DEFAULT,HR,CHF,5603,6226,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
013,,DEFAULT,HR,CHF,4424,4916,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
013,,DEFAULT,HR,CHF,2212,2458,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
013,,DEFAULT,HR,EUR,4873,5414,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
013,,DEFAULT,HR,EUR,3847,4274,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
013,,DEFAULT,HR,EUR,1924,2137,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
014,,DEFAULT,HR,CHF,4502,5003,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
014,,DEFAULT,HR,CHF,3554,3950,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
014,,DEFAULT,HR,CHF,1777,1975,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
014,,DEFAULT,HR,EUR,3915,4350,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
014,,DEFAULT,HR,EUR,3091,3434,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
014,,DEFAULT,HR,EUR,1546,1717,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
015,,DEFAULT,HR,CHF,5900,6555,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
015,,DEFAULT,HR,CHF,4658,5175,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
015,,DEFAULT,HR,CHF,2329,2588,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
015,,DEFAULT,HR,EUR,5130,5700,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
015,,DEFAULT,HR,EUR,4050,4500,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
015,,DEFAULT,HR,EUR,2025,2250,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
051,,DEFAULT,HR,CHF,12220,13577,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
051,,DEFAULT,HR,CHF,9647,10719,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
051,,DEFAULT,HR,CHF,4824,5360,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
051,,DEFAULT,HR,EUR,10626,11807,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
051,,DEFAULT,HR,EUR,8389,9321,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
051,,DEFAULT,HR,EUR,4195,4661,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,051_29567823,DEFAULT,HR,CHF,11799,13110,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,051_29567823,DEFAULT,HR,CHF,9315,10350,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,051_29567823,DEFAULT,HR,CHF,4658,5175,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,051_30107816,DEFAULT,HR,CHF,12291,13656,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,051_30107816,DEFAULT,HR,CHF,9704,10781,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,051_30107816,DEFAULT,HR,CHF,4852,5391,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,051_30614390,DEFAULT,HR,CHF,12586,13984,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,051_30614390,DEFAULT,HR,CHF,9936,11040,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,051_30614390,DEFAULT,HR,CHF,4968,5520,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,052_29567823,DEFAULT,HR,CHF,8751,9723,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,052_29567823,DEFAULT,HR,CHF,6909,7676,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,052_29567823,DEFAULT,HR,CHF,3455,3838,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
,052_30107816,DEFAULT,HR,CHF,10325,11471,2021-01-01T00:00:00-00:00,2021-12-31T23:59:59-00:00
,052_30107816,DEFAULT,HR,CHF,8151,9056,2021-05-01T00:00:00-00:00,2021-06-30T23:59:59-00:00
,052_30107816,DEFAULT,HR,CHF,4076,4528,2021-06-23T00:00:00-00:00,2021-07-19T23:59:59-00:00
