abstract_sku,store_name
001,AU
002,AU
003,AU
004,AU
005,AU
006,AU
007,AU
008,AU
009,AU
010,AU
011,AU
012,AU
013,AU
014,AU
015,AU
016,AU
017,AU
018,AU
019,AU
020,AU
021,AU
022,AU
023,AU
024,AU
025,AU
026,AU
027,AU
028,AU
029,AU
030,AU
031,AU
032,AU
033,AU
034,AU
035,AU
036,AU
037,AU
038,AU
039,AU
040,AU
041,AU
042,AU
043,AU
044,AU
045,AU
046,AU
047,AU
048,AU
049,AU
050,AU
051,AU
052,AU
053,AU
054,AU
055,AU
056,AU
057,AU
058,AU
059,AU
060,AU
061,AU
062,AU
063,AU
064,AU
065,AU
066,AU
067,AU
068,AU
069,AU
070,AU
071,AU
072,AU
073,AU
074,AU
075,AU
076,AU
077,AU
078,AU
079,AU
080,AU
081,AU
082,AU
083,AU
084,AU
085,AU
086,AU
087,AU
088,AU
089,AU
090,AU
091,AU
092,AU
093,AU
094,AU
095,AU
096,AU
097,AU
098,AU
099,AU
100,AU
101,AU
102,AU
103,AU
104,AU
105,AU
106,AU
107,AU
108,AU
109,AU
110,AU
111,AU
112,AU
113,AU
114,AU
115,AU
116,AU
117,AU
118,AU
119,AU
120,AU
121,AU
122,AU
123,AU
124,AU
125,AU
126,AU
127,AU
128,AU
129,AU
130,AU
131,AU
132,AU
133,AU
134,AU
135,AU
136,AU
137,AU
138,AU
139,AU
140,AU
141,AU
142,AU
143,AU
144,AU
145,AU
146,AU
147,AU
148,AU
149,AU
150,AU
151,AU
152,AU
153,AU
154,AU
155,AU
156,AU
157,AU
158,AU
159,AU
160,AU
161,AU
162,AU
163,AU
164,AU
165,AU
166,AU
167,AU
168,AU
169,AU
170,AU
171,AU
172,AU
173,AU
174,AU
175,AU
176,AU
177,AU
178,AU
179,AU
180,AU
181,AU
182,AU
183,AU
184,AU
185,AU
186,AU
187,AU
188,AU
189,AU
190,AU
191,AU
192,AU
193,AU
194,AU
195,AU
196,AU
197,AU
198,AU
199,AU
200,AU
201,AU
202,AU
203,AU
204,AU
205,AU
206,AU
207,AU
208,AU
209,AU
210,AU
211,AU
212,AU
213,AU
214,AU
666,AU
